Ссылка на товар с артикулом,Артикул,Наименование продавца,ID для блокировки (артикул товара прикрепыша),Продавец из РФ,Ссылка на товар (прикрепыш)
https://www.ozon.ru/product/182000584/,182000584,UNIMALL,1907502551,Нет,https://www.ozon.ru/product/1907502551/
https://www.ozon.ru/product/182000584/,182000584,FAN OU NUO,1990512646,Нет,https://www.ozon.ru/product/1990512646/
https://www.ozon.ru/product/182000584/,182000584,Гуанчжоу Цзинран универмаг,1989745102,Нет,https://www.ozon.ru/product/1989745102/
https://www.ozon.ru/product/182000584/,182000584,dengdeng,1998818663,Нет,https://www.ozon.ru/product/1998818663/
https://www.ozon.ru/product/182000584/,182000584,Арт-Мама,1040676563,Да,https://www.ozon.ru/product/1040676563/
https://www.ozon.ru/product/182000584/,182000584,Bamoushop,2006645774,Нет,https://www.ozon.ru/product/2006645774/
https://www.ozon.ru/product/182000584/,182000584,"ООО ""Екомм-Сервис""",181616631,Да,https://www.ozon.ru/product/181616631/
https://www.ozon.ru/product/815567609/,815567609,susu,1995895677,Нет,https://www.ozon.ru/product/1995895677/
https://www.ozon.ru/product/815567609/,815567609,JIUCANG,1990486796,Нет,https://www.ozon.ru/product/1990486796/
https://www.ozon.ru/product/815567609/,815567609,viingtt,1986317607,Нет,https://www.ozon.ru/product/1986317607/
https://www.ozon.ru/product/182001263/,182001263,nansy's,1991007403,Нет,https://www.ozon.ru/product/1991007403/
https://www.ozon.ru/product/1352458368/,1352458368,Hainuocheng,1997161451,Нет,https://www.ozon.ru/product/1997161451/
https://www.ozon.ru/product/1703288224/,1703288224,Sunshine,1992964912,Нет,https://www.ozon.ru/product/1992964912/
https://www.ozon.ru/product/1703288224/,1703288224,Chuangzhan-1,1985533005,Нет,https://www.ozon.ru/product/1985533005/
https://www.ozon.ru/product/1703288224/,1703288224,ouzhou1,1985835436,Нет,https://www.ozon.ru/product/1985835436/
https://www.ozon.ru/product/1703288224/,1703288224,Haikuo,1985836171,Нет,https://www.ozon.ru/product/1985836171/
https://www.ozon.ru/product/1703288224/,1703288224,Звездное сияние,1995335713,Нет,https://www.ozon.ru/product/1995335713/
https://www.ozon.ru/product/1703288224/,1703288224,LYT,2000900693,Нет,https://www.ozon.ru/product/2000900693/
https://www.ozon.ru/product/1703288224/,1703288224,SuperLady Z,1986798878,Нет,https://www.ozon.ru/product/1986798878/
https://www.ozon.ru/product/379889075/,379889075,beauty store,1977203030,Нет,https://www.ozon.ru/product/1977203030/
https://www.ozon.ru/product/379889075/,379889075,Оптимизация,1931293317,Нет,https://www.ozon.ru/product/1931293317/
https://www.ozon.ru/product/379889075/,379889075,Торговый центр,1968195278,Нет,https://www.ozon.ru/product/1968195278/
https://www.ozon.ru/product/379889075/,379889075,wangmingjie1,1971536621,Нет,https://www.ozon.ru/product/1971536621/
https://www.ozon.ru/product/379889075/,379889075,County,2005189683,Нет,https://www.ozon.ru/product/2005189683/
https://www.ozon.ru/product/379889075/,379889075,Haifeng2,1982436450,Нет,https://www.ozon.ru/product/1982436450/
https://www.ozon.ru/product/379889075/,379889075,Арт-Мама,1040660598,Да,https://www.ozon.ru/product/1040660598/
https://www.ozon.ru/product/379889075/,379889075,Rui Qiu Lan,1978128034,Нет,https://www.ozon.ru/product/1978128034/
https://www.ozon.ru/product/498516649/,498516649,магазин Леле,1992300808,Нет,https://www.ozon.ru/product/1992300808/
https://www.ozon.ru/product/1223306147/,1223306147,He Zhijun,1942210744,Нет,https://www.ozon.ru/product/1942210744/
